record_id,ideology_response,gender,race,age,zip,variable1,variable2,variable3,variable4,variable5
2,Moderate,1 - female,black,64,35480,0,0.03959,54063,0,47.8
3,Moderate,1 - female,black,71,35773,0.00579,0.14523,72554,0,49.6
4,Conservative,1 - female,caucasian,55,35079,0.08371,0.02964,52798,0,29.2
5,Conservative,1 - female,caucasian,37,35215,0,0.01161,34867,0.18414,40.7
6,Conservative,1 - female,caucasian,72,72956,0,0.01643,33780,0.05345,14.6
7,Moderate,1 - female,caucasian,77,72762,0,0.02593,35938,0,17.4
8,Conservative,1 - female,caucasian,46,72076,0.07471,0.04843,20625,0.34049,71.4
14,Moderate,1 - female,hispanic,52,85042,0.01556,0.01359,47743,0,90.6
15,Conservative,1 - female,caucasian,73,85374,0,0.1248,60432,0,85.4
17,Liberal,1 - female,caucasian,30,86406,0,0.07489,53995,0.06135,92.6
23,Moderate,1 - female,caucasian,36,94501,0.09767,0.12432,64331,0.39368,43.6
24,Moderate,1 - female,caucasian,49,94538,0.00797,0.05805,64810,0.15743,39.8
28,Conservative,1 - female,caucasian,46,93710,0.12479,0.05592,40302,0.50291,24.5
31,Liberal,1 - female,black,39,90037,0.04468,0,25337,0.62744,75.1
32,Conservative,1 - female,asian,76,90006,0.05193,0.01185,20595,0.77276,22.8
33,Moderate,1 - female,caucasian,35,91344,0,0.19434,111563,0,93.8
35,Moderate,1 - female,caucasian,75,90041,0.0922,0.1606,73375,0.02109,93.1
36,Moderate,1 - female,asian,44,91306,0.00588,0.08086,58247,0.41248,90.8
37,Conservative,1 - female,caucasian,54,91384,0.03533,0.09705,54828,0.30723,35.9
39,Conservative,1 - female,caucasian,63,90740,0,0.05963,30208,0,15.9
40,Moderate,1 - female,asian,46,90680,0.05032,0.09146,59693,0.2239,88.2
46,Liberal,1 - female,black,53,94134,0,0.07278,73173,0.03289,97.5
49,Liberal,1 - female,caucasian,63,95204,0,0.02985,60000,0.00912,94.1
50,Moderate,1 - female,caucasian,68,93311,0.00585,0.12743,89453,0,54.6
52,Liberal,1 - female,hispanic,36,91360,0.07031,0.10747,58599,0.43095,81.7
53,Dont Know/ Refused,1 - female,hispanic,51,92223,0.02823,0.0306,41181,0.24482,90.3
54,Liberal,1 - female,caucasian,57,92506,0,0.01522,51648,0.15276,86.7
55,Moderate,1 - female,caucasian,54,93637,0.05075,0.11326,48026,0,4.5
57,Liberal,1 - female,caucasian,54,95032,0.06771,0.22133,116625,0.17898,83.1
58,Liberal,1 - female,hispanic,31,90046,0.03769,0.12996,62128,0.58242,87.9
59,Liberal,1 - female,asian,50,94601,0,0.03498,32316,0.41862,93.1
61,Liberal,1 - female,caucasian,36,95660,0,0.00294,22237,0.53721,67.5
63,Moderate,1 - female,black,28,95823,0.01512,0.00454,32163,0.16726,81.7
64,Moderate,1 - female,caucasian,45,94530,0,0.2064,84457,0.00884,76.2
65,Liberal,1 - female,unknown,26,92253,0.01777,0.1311,81250,0.08486,80.5
67,Moderate,1 - female,caucasian,31,95661,0.0315,0.0481,56796,0.26924,47.9
68,Conservative,1 - female,caucasian,57,93534,0.01051,0.02156,32390,0.81117,7.1
69,Moderate,1 - female,asian,23,95348,0.00263,0.10624,59187,0.00553,75.8
